"parent","command","UIC","echelon"
"CHIEF OF NAVAL OPERATIONS","CHIEF, BUREAU OF MEDICINE AND SURGERY **","00018",2
"CHIEF, BUREAU OF MEDICINE AND SURGERY **","EXMEDFAC GREAT LAKES ONE","84022",3
"CHIEF, BUREAU OF MEDICINE AND SURGERY **","EXMEDFAC BETHESDA","50480",3
"CHIEF, BUREAU OF MEDICINE AND SURGERY **","EXMEDFAC CAMP PENDLETON","50481",3
"CHIEF OF NAVAL OPERATIONS","COMMANDER, U.S. FLEET FORCES COMMAND (COMUSFLTFORCOM)","00060",2
"COMMANDER, U.S. FLEET FORCES COMMAND (COMUSFLTFORCOM)","COMCARSTRKGRU FOUR","09577",3
"COMCARSTRKGRU FOUR","EXPEDITIONARY WARFARE TRAINING GROUP ATLANTIC","63021",4
"COMCARSTRKGRU FOUR","TACTICAL TRAINING GROUP ATLANTIC","53989",4
"COMMANDER, U.S. FLEET FORCES COMMAND (COMUSFLTFORCOM)","COMMANDER, U. S. SECOND FLEET","08961",3
"COMMANDER, U. S. SECOND FLEET","COMMANDER, CARRIER STRIKE GROUP (COMCARSTRKGRU) TWO","09576",4
"COMMANDER, U. S. SECOND FLEET","COMCARSTRKGRU EIGHT","53889",4
"COMMANDER, U. S. SECOND FLEET","COMCARSTRKGRU TEN","55771",4
"COMMANDER, U. S. SECOND FLEET","COMCARSTRKGRU TWELVE","0107A",4
"COMMANDER, U. S. SECOND FLEET","COMMANDER EXPEDITIONARY STRIKE GROUP (COMEXSTRKGRU) TWO","55333",4
"COMMANDER, U.S. FLEET FORCES COMMAND (COMUSFLTFORCOM)","COMMANDER, STANDING NAVY COMBAT ELEMENT","08967",3
"COMMANDER, U.S. FLEET FORCES COMMAND (COMUSFLTFORCOM)","COMUSFLTFORCOM MARITIME HOMELAND DEFENSE (MHLD) COMMANDER, ATLANTIC AREA","45550",3
"COMUSFLTFORCOM MARITIME HOMELAND DEFENSE (MHLD) COMMANDER, ATLANTIC AREA","COMUSFLTFORCOM MHLD DISTRICT (DIST) ONE","82241",4
"COMUSFLTFORCOM MARITIME HOMELAND DEFENSE (MHLD) COMMANDER, ATLANTIC AREA","COMUSFLTFORCOM MHLD DIST FIVE","82244",4
"COMUSFLTFORCOM MARITIME HOMELAND DEFENSE (MHLD) COMMANDER, ATLANTIC AREA","COMUSFLTFORCOM MHLD DIST SEVEN","82246",4
"COMUSFLTFORCOM MARITIME HOMELAND DEFENSE (MHLD) COMMANDER, ATLANTIC AREA","COMUSFLTFORCOM MHLD DIST EIGHT","82247",4
"COMUSFLTFORCOM MARITIME HOMELAND DEFENSE (MHLD) COMMANDER, ATLANTIC AREA","COMUSFLTFORCOM MHLD DIST NINE","82248",4
"COMMANDER, U.S. FLEET FORCES COMMAND (COMUSFLTFORCOM)","COMMANDER, NAVAL AIR FORCE, ATLANTIC (AIRLANT)","57012",3
"COMMANDER, NAVAL AIR FORCE, ATLANTIC (AIRLANT)","EISENHOWER (CVN 69)","03369",4
"COMMANDER, NAVAL AIR FORCE, ATLANTIC (AIRLANT)","HARRY S TRUMAN (CVN 75)","21853",4
"COMMANDER, NAVAL AIR FORCE, ATLANTIC (AIRLANT)","GEORGE H W BUSH (CVN 77)","23170",4
"COMMANDER, NAVAL AIR FORCE, ATLANTIC (AIRLANT)","GERALD R FORD (CVN 78)","23173",4
"COMMANDER, NAVAL AIR FORCE, ATLANTIC (AIRLANT)","COMMANDER, CARRIER AIR WING (COMCARAIRWING) ONE","09732",4
"COMMANDER, NAVAL AIR FORCE, ATLANTIC (AIRLANT)","COMCARAIRWING THREE","09731",4
"COMMANDER, NAVAL AIR FORCE, ATLANTIC (AIRLANT)","COMCARAIRWING SEVEN","09736",4
"COMMANDER, NAVAL AIR FORCE, ATLANTIC (AIRLANT)","COMCARAIRWING EIGHT","09748",4
"COMMANDER, NAVAL AIR FORCE, ATLANTIC (AIRLANT)","COMMANDER, STRIKE FIGHTER WING ATLANTIC (COMSTRKFIGHTWINGLANT)","09103",4
"COMMANDER, STRIKE FIGHTER WING ATLANTIC (COMSTRKFIGHTWINGLANT)","STRIKE FIGHTER WEAPONS SCHOOL ATLANTIC","47084",5
"COMMANDER, STRIKE FIGHTER WING ATLANTIC (COMSTRKFIGHTWINGLANT)","VFA 11","09560",5
"COMMANDER, STRIKE FIGHTER WING ATLANTIC (COMSTRKFIGHTWINGLANT)","VFA 31","09473",5
"COMMANDER, STRIKE FIGHTER WING ATLANTIC (COMSTRKFIGHTWINGLANT)","VFA 32","09053",5
"COMMANDER, STRIKE FIGHTER WING ATLANTIC (COMSTRKFIGHTWINGLANT)","VFA 34","09070",5
"COMMANDER, STRIKE FIGHTER WING ATLANTIC (COMSTRKFIGHTWINGLANT)","VFA 37","09478",5
"COMMANDER, STRIKE FIGHTER WING ATLANTIC (COMSTRKFIGHTWINGLANT)","VFA 81","09221",5
"COMMANDER, STRIKE FIGHTER WING ATLANTIC (COMSTRKFIGHTWINGLANT)","VFA 83","09223",5
"COMMANDER, STRIKE FIGHTER WING ATLANTIC (COMSTRKFIGHTWINGLANT)","VFA 87","63922",5
"COMMANDER, STRIKE FIGHTER WING ATLANTIC (COMSTRKFIGHTWINGLANT)","VFA 103","09718",5
"COMMANDER, STRIKE FIGHTER WING ATLANTIC (COMSTRKFIGHTWINGLANT)","VFA 105","65183",5
"COMMANDER, STRIKE FIGHTER WING ATLANTIC (COMSTRKFIGHTWINGLANT)","VFA 106","09679",5
"VFA 106","VFA 106 SQUADRON AUGMENT UNIT (SAU)","47570",6
"COMMANDER, STRIKE FIGHTER WING ATLANTIC (COMSTRKFIGHTWINGLANT)","VFA 131","63934",5
"COMMANDER, STRIKE FIGHTER WING ATLANTIC (COMSTRKFIGHTWINGLANT)","VFA 143","09281",5
"COMMANDER, STRIKE FIGHTER WING ATLANTIC (COMSTRKFIGHTWINGLANT)","VFA 211","09086",5
"COMMANDER, STRIKE FIGHTER WING ATLANTIC (COMSTRKFIGHTWINGLANT)","FA 213","09934",5
"COMMANDER, NAVAL AIR FORCE, ATLANTIC (AIRLANT)","PATROL AND RECONNAISSANCE GROUP (PATRECONGRU)","39555",4
"PATROL AND RECONNAISSANCE GROUP (PATRECONGRU)","VP 30","09047",5
"PATROL AND RECONNAISSANCE GROUP (PATRECONGRU)","PATRECON WING ONE ONE","09461",5
"PATRECON WING ONE ONE","TACTICAL OPERATIONS CENTER (TOC) JACKSONVILLE","35380",6
"TACTICAL OPERATIONS CENTER (TOC) JACKSONVILLE","MOBILE TACTICAL OPERATIONS CENTER (MTOC) ONE","55619",7
"TACTICAL OPERATIONS CENTER (TOC) JACKSONVILLE","MTOC THREE","55620",7
"TACTICAL OPERATIONS CENTER (TOC) JACKSONVILLE","MTOC FIVE","3695A",7
"TACTICAL OPERATIONS CENTER (TOC) JACKSONVILLE","MTOC SEVEN","55637",7
"TACTICAL OPERATIONS CENTER (TOC) JACKSONVILLE","MTOC NINE","55352",7
"TACTICAL OPERATIONS CENTER (TOC) JACKSONVILLE","MTOC ELEVEN","55353",7
"PATRECON WING ONE ONE","VP 5","09630",6
"PATRECON WING ONE ONE","VP 8","09661",6
"PATRECON WING ONE ONE","VP 10","09639",6
"PATRECON WING ONE ONE","VP 16","09229",6
"PATRECON WING ONE ONE","VP 26","09610",6
"PATRECON WING ONE ONE","VP 45","09665",6
"PATRECON WING ONE ONE","VPU 2","09244",6
"PATRECON WING ONE ONE","VUP 19","50470",6
"COMMANDER, NAVAL AIR FORCE, ATLANTIC (AIRLANT)","HELICOPTER MARITIME STRIKE WING ATLANTIC (HELMARSTRKWINGLANT)","55212",4
"HELICOPTER MARITIME STRIKE WING ATLANTIC (HELMARSTRKWINGLANT)","HELICOPTER MARITIME STRIKE WEAPONS SCHOOL ATLANTIC","32417",5
"HELICOPTER MARITIME STRIKE WING ATLANTIC (HELMARSTRKWINGLANT)","HELICOPTER MARITIME STRIKE SQUADRON (HSM) 40","53912",5
"HELICOPTER MARITIME STRIKE WING ATLANTIC (HELMARSTRKWINGLANT)","HSM 72","55145",5
"HELICOPTER MARITIME STRIKE WING ATLANTIC (HELMARSTRKWINGLANT)","HSM 74","55147",5
"HELICOPTER MARITIME STRIKE WING ATLANTIC (HELMARSTRKWINGLANT)","HSM 46","55149",5
"HELICOPTER MARITIME STRIKE WING ATLANTIC (HELMARSTRKWINGLANT)","HSM 48","55151",5
"HELICOPTER MARITIME STRIKE WING ATLANTIC (HELMARSTRKWINGLANT)","HSM 70","09884",5
"HELICOPTER MARITIME STRIKE WING ATLANTIC (HELMARSTRKWINGLANT)","HSM 50 (ESTAB EFF 1 OCT 21)","4821A",5
"COMMANDER, NAVAL AIR FORCE, ATLANTIC (AIRLANT)","HELICOPTER SEA COMBAT WING ATLANTIC (HELSEACOMBATWINGLANT)","44890",4
"HELICOPTER SEA COMBAT WING ATLANTIC (HELSEACOMBATWINGLANT)","HELICOPTER SEA COMBAT WEAPONS SCHOOL ATLANTIC","48097",5
"HELICOPTER SEA COMBAT WING ATLANTIC (HELSEACOMBATWINGLANT)","HELICOPTER SEA COMBAT SQUADRON (HSC) 11","09954",5
"HELICOPTER SEA COMBAT WING ATLANTIC (HELSEACOMBATWINGLANT)","HSC 5","09488",5
"HELICOPTER SEA COMBAT WING ATLANTIC (HELSEACOMBATWINGLANT)","HSC 7","09988",5
"HELICOPTER SEA COMBAT WING ATLANTIC (HELSEACOMBATWINGLANT)","HSC 2","09212",5
"HELICOPTER SEA COMBAT WING ATLANTIC (HELSEACOMBATWINGLANT)","HSC 9","09163",5
"HELICOPTER SEA COMBAT WING ATLANTIC (HELSEACOMBATWINGLANT)","HSC 22","09846",5
"HELICOPTER SEA COMBAT WING ATLANTIC (HELSEACOMBATWINGLANT)","HSC 26","0381A",5
"HELICOPTER SEA COMBAT WING ATLANTIC (HELSEACOMBATWINGLANT)","HSC 28","55218",5
"HELICOPTER SEA COMBAT WING ATLANTIC (HELSEACOMBATWINGLANT)","HELICOPTER MINE COUNTERMEASURES SQUADRON (HM) 14","53827",5
"HELICOPTER SEA COMBAT WING ATLANTIC (HELSEACOMBATWINGLANT)","HM 15","55201",5
"HELICOPTER SEA COMBAT WING ATLANTIC (HELSEACOMBATWINGLANT)","HM 12","09206",5
"COMMANDER, NAVAL AIR FORCE, ATLANTIC (AIRLANT)","AIR TEST AND EVALUATION SQUADRON (VX) ONE","55600",4
"COMMANDER, NAVAL AIR FORCE, ATLANTIC (AIRLANT)","COMFAIRSIG","67061",4
"COMMANDER, NAVAL AIR FORCE, ATLANTIC (AIRLANT)","FLEET AREA CONTROL AND SURVEILLANCE FACILITY (FACSFAC) JACKSONVILLE","53895",4
"COMMANDER, NAVAL AIR FORCE, ATLANTIC (AIRLANT)","FACSFAC VIRGINIA CAPES OCEANA VA","42239",4
"COMMANDER, NAVAL AIR FORCE, ATLANTIC (AIRLANT)","SURFACE NUCLEAR PROPULSION MOBILE TRAINING TEAM NORFOLK","47301",4
"COMMANDER, NAVAL AIR FORCE, ATLANTIC (AIRLANT)","LANDING SIGNALS OFFICER SCHOOL","68788",4
"COMMANDER, U.S. FLEET FORCES COMMAND (COMUSFLTFORCOM)","COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","53825",3
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","LEYTE GULF (GUIDED MISSILE CRUISER) CG 55","21388",4
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","SAN JACINTO CG 56","21389",4
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","PHILIPPINE SEA CG 58","21429",4
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","NORMANDY CG 60","21449",4
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","MONTEREY CG 61","21450",4
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","VELLA GULF CG 72","21829",4
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","GETTYSBURG CG 64","21624",4
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","WASP LHD 1","23168",4
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","FORT LAUDERDALE LPD 28","3738A",4
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","LEWIS B PULLER ESB (Expeditionary Sea Base) 3","70027",4
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","HERSHEL WOODY WILLIAMS (ESB-4)","70028",4
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","COMDESRON TWO","39789",4
"COMDESRON TWO","WINSTON S CHURCHILL (GUIDED MISSILE DESTROYER)v DDG 81","21955",5
"COMDESRON TWO","MITSCHER DDG 57","21687",5
"COMDESRON TWO","NITZE DDG 94","23147",5
"COMDESRON TWO","MASON DDG 87","22995",5
"COMDESRON TWO","BULKELEY DDG 84","22992",5
"COMDESRON TWO","ARLEIGH BURKE DDG 51","21487",5
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","COMNAVSURFRON ONE FOUR","55273",4
"COMNAVSURFRON ONE FOUR","LASSEN DDG 82","21956",5
"COMNAVSURFRON ONE FOUR","THOMAS HUDNER DDG 116","50137",5
"COMNAVSURFRON ONE FOUR","PAUL IGNATIUS DDG 117","50186",5
"COMNAVSURFRON ONE FOUR","FARRAGUT DDG 99","23150",5
"COMNAVSURFRON ONE FOUR","THE SULLIVANS DDG 68","21942",5
"COMNAVSURFRON ONE FOUR","DELBERT D BLACK DDG 119","50400",5
"COMNAVSURFRON ONE FOUR","CARNEY DDG 64","21923",5
"COMNAVSURFRON ONE FOUR","JASON DUNHAM DDG 109","55685",5
"COMNAVSURFRON ONE FOUR","SHAMAL (PATROL CRAFT) PC 13","22147",5
"COMNAVSURFRON ONE FOUR","ZEPHYR PC 8","21929",5
"COMNAVSURFRON ONE FOUR","TORNADO PC 14","23156",5
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","COMDESRON TWO TWO","0131A",4
"COMDESRON TWO TWO","MAHAN DDG 72","21946",5
"COMDESRON TWO TWO","LABOON DDG 58","21820",5
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","COMDESRON TWO SIX","0135A",4
"COMDESRON TWO SIX","OSCAR AUSTIN DDG 79","21953",5
"COMDESRON TWO SIX","MCFAUL DDG 74","21948",5
"COMDESRON TWO SIX","STOUT DDG 55","21685",5
"COMDESRON TWO SIX","TRUXTUN DDG 103","23165",5
"COMDESRON TWO SIX","JAMES E WILLIAMS DDG 95","23148",5
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","COMDESRON TWO EIGHT","39791",4
"COMDESRON TWO EIGHT","GRAVELY DDG 107","23164",5
"COMDESRON TWO EIGHT","FORREST SHERMAN DDG 98","23149",5
"COMDESRON TWO EIGHT","FARRAGUT DDG 99","23150",5
"COMDESRON TWO EIGHT","RAMAGE DDG 61","21823",5
"COMDESRON TWO EIGHT","COLE DDG 67","21941",5
"COMDESRON TWO EIGHT","GONZALEZ DDG 66","21833",5
"COMDESRON TWO EIGHT","BAINBRIDGE DDG 96","23153",5
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","COMDESRON SIX ZERO (Dual hat as CTF 65 under NAVEUR/NAVAF)","55699",4
"COMDESRON SIX ZERO (Dual hat as CTF 65 under NAVEUR/NAVAF)","ROOSEVELT DDG 80","21954",5
"COMDESRON SIX ZERO (Dual hat as CTF 65 under NAVEUR/NAVAF)","DONALD COOK DDG 75","21949",5
"COMDESRON SIX ZERO (Dual hat as CTF 65 under NAVEUR/NAVAF)","ROSS DDG 71","21945",5
"COMDESRON SIX ZERO (Dual hat as CTF 65 under NAVEUR/NAVAF)","PORTER DDG 78","21952",5
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","MOUNT WHITNEY (AMPHIBIOUS COMMAND SHIP) LCC 20","20001",4
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","NEW YORK (AMPHIBIOUS TRANSPORT DOCK) LPD 21","3013A",4
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","MESA VERDE LPD 19","32421",4
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","WASP (LANDING HELICOPTER DOCK) LHD 1","21560",4
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","SAN ANTONIO LPD 17","07207",4
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","KEARSARGE LHD 3","21700",4
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","BATAAN LHD 5","21879",4
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","IWO JIMA LHD 7","23027",4
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","ARLINGTON LPD 24","23180",4
"COMMANDER, NAVAL SURFACE FORCE, ATLANTIC (CNSL)","COMMANDER, AMPHIBIOUS SQUADRON (COMPHIBRON) FOUR","55336",4
"COMMANDER, AMPHIBIOUS SQUADRON (COMPHIBRON) FOUR","FLTSURGTEAM (FLTSURGTEAM) 4","47421",5
